Date,Pink,Brown,Blue,Total Harvested,Broken/ Etc
01/01/2023,,,,0,
01/02/2023,,,,0,
01/03/2023,,,,0,
01/04/2023,,,,0,
01/05/2023,,,,0,
01/06/2023,,,,0,
01/07/2023,,,,0,
01/08/2023,,,,0,
01/09/2023,,2,3,5,
01/10/2023,,1,3,4,
01/11/2023,,1,2,3,
01/12/2023,,,,0,
01/13/2023,,2,2,4,
01/14/2023,,1,2,3,
01/15/2023,,,,0,
01/16/2023,,,,0,
01/17/2023,,,,0,
01/18/2023,,4,9,13,
01/19/2023,,1,2,3,
01/20/2023,,1,2,3,
01/21/2023,,2,4,6,
01/22/2023,,1,1,2,
01/23/2023,,0,0,0,
01/24/2023,,2,6,8,
01/25/2023,,1,3,4,
01/26/2023,,0,4,4,
01/27/2023,,0,3,3,
01/28/2023,,0,3,3,
01/29/2023,,0,4,4,
01/30/2023,,0,3,3,
01/31/2023,,0,4,4,
02/01/2023,,0,3,3,
02/02/2023,,1,6,7,
02/03/2023,,0,3,3,
02/04/2023,,0,3,3,
02/05/2023,,1,7,8,
02/06/2023,,1,5,6,
02/07/2023,,0,3,3,
02/08/2023,,0,6,6,
02/09/2023,,0,5,5,
02/10/2023,,0,4,4,
02/11/2023,,1,5,6,
02/12/2023,,1,5,6,
02/13/2023,,1,7,8,
02/14/2023,,1,4,5,
02/15/2023,,1,6,7,
02/16/2023,,1,7,8,
02/17/2023,,1,4,5,
02/18/2023,,1,8,9,
02/19/2023,,0,5,5,
02/20/2023,,0,7,7,
02/21/2023,,1,4,5,
02/22/2023,,0,7,7,
02/23/2023,,1,8,9,
02/24/2023,,2,4,6,
02/25/2023,,0,7,7,
02/26/2023,,2,7,9,
02/27/2023,,1,4,5,
02/28/2023,,2,10,12,
03/01/2023,,2,6,8,
03/02/2023,,1,6,7,
03/03/2023,,2,6,8,
03/04/2023,,2,7,9,
03/05/2023,,2,7,9,
03/06/2023,,2,5,7,
03/07/2023,,4,8,12,
03/08/2023,,1,8,9,
03/09/2023,,3,7,10,
03/10/2023,,3,5,8,
03/11/2023,,4,8,12,
03/12/2023,,0,8,8,
03/13/2023,,4,6,10,
03/14/2023,,4,8,12,
03/15/2023,,0,4,4,
03/16/2023,,4,8,12,
