Date,Pink,Brown,Blue,Total Harvested,Broken/ Etc
03/17/2023,,2,10,12,
03/18/2023,,1,6,7,
03/19/2023,,3,6,9,
03/20/2023,,1,7,8,
03/21/2023,,3,4,7,
03/22/2023,,2,9,11,
03/23/2023,,3,4,7,
03/24/2023,,3,8,11,
03/25/2023,,3,9,12,
03/26/2023,,2,6,8,
03/27/2023,,2,5,7,
03/28/2023,,0,8,8,
03/29/2023,,3,8,11,
03/30/2023,,0,6,6,
03/31/2023,,3,6,9,
04/01/2023,,3,9,12,
04/02/2023,,2,9,11,
04/03/2023,,2,8,10,
04/04/2023,,2,5,7,
04/05/2023,,2,10,12,
04/06/2023,,3,7,10,1
04/07/2023,,1,2,3,
04/08/2023,,1,9,10,
04/09/2023,,3,9,12,
04/10/2023,,1,4,5,
04/11/2023,,2,8,10,
04/12/2023,,3,9,12,
04/13/2023,,1,7,8,
04/14/2023,,2,6,8,
04/15/2023,,4,9,13,
04/16/2023,,2,7,9,
04/17/2023,,3,7,10,
04/18/2023,,2,6,8,
04/19/2023,,2,7,9,1
04/20/2023,,2,8,10,
04/21/2023,,3,6,9,1
04/22/2023,,4,9,13,
04/23/2023,,2,7,9,
04/24/2023,,3,6,9,
04/25/2023,,3,8,11,
04/26/2023,,2,5,7,
04/27/2023,,5,10,15,
04/28/2023,,3,6,9,
04/29/2023,,2,7,9,
04/30/2023,,2,7,9,
05/01/2023,,3,7,10,
05/02/2023,,6,7,13,
05/03/2023,,2,7,9,
05/04/2023,,-0,-0,0,
05/05/2023,,-0,-0,0,
05/06/2023,,-0,-0,0,
05/07/2023,,-0,-0,0,
05/08/2023,,4,7,11,
05/09/2023,,3,8,11,
05/10/2023,,3,7,10,
05/11/2023,,1,6,7,1
05/12/2023,,3,8,11,
05/13/2023,,3,8,11,
05/14/2023,,3,5,8,
05/15/2023,,2,8,10,
05/16/2023,,4,8,12,
05/17/2023,,3,8,11,
05/18/2023,,4,5,9,1
05/19/2023,,2,7,9,
05/20/2023,,3,8,11,
05/21/2023,,3,4,7,
05/22/2023,,2,8,10,
05/23/2023,,4,9,13,
05/24/2023,,2,4,6,
05/25/2023,,3,5,8,
05/26/2023,,2,6,8,
05/27/2023,,-0,-0,0,
05/28/2023,,4,8,12,
05/29/2023,,2,10,12,
05/30/2023,,4,4,8,
05/31/2023,,4,8,12,
06/01/2023,,3,7,10,
06/02/2023,,4,7,11,1
06/03/2023,,2,7,9,
06/04/2023,,4,8,12,
06/05/2023,,2,6,8,
06/06/2023,,3,7,10,
06/07/2023,,2,8,10,
06/08/2023,,3,5,8,
06/09/2023,,3,7,10,
06/10/2023,,2,7,9,
06/11/2023,,4,5,9,
06/12/2023,,1,8,9,
06/13/2023,,3,7,10,
06/14/2023,,4,6,10,
06/15/2023,,3,7,10,
06/16/2023,,2,7,9,
06/17/2023,,3,8,11,
06/18/2023,,3,7,10,
06/19/2023,,2,7,9,
06/20/2023,,4,6,10,
06/21/2023,,4,6,10,
06/22/2023,,3,5,8,
06/23/2023,,3,5,8,1
06/24/2023,,4,7,11,
06/25/2023,,3,8,11,
06/26/2023,,3,4,7,
06/27/2023,,3,6,9,
06/28/2023,,2,10,12,
06/29/2023,,2,3,5,1
06/30/2023,,2,9,11,2
07/01/2023,,3,6,9,
07/02/2023,,1,6,7,
07/03/2023,,4,5,9,
07/04/2023,,1,7,8,
07/05/2023,,3,6,9,
07/06/2023,,3,6,9,
07/07/2023,,2,9,11,
07/08/2023,,4,3,7,
07/09/2023,,1,6,7,
07/10/2023,,5,7,12,
07/11/2023,,3,5,8,1
07/12/2023,,2,7,9,1
07/13/2023,,4,8,12,1
07/14/2023,,3,3,6,
07/15/2023,,2,6,8,
07/16/2023,,3,8,11,
07/17/2023,,3,7,10,
