Date,Pink,Brown,Blue,Total Harvested,Broken/ Etc
08/03/2022,,4,9,13,
08/04/2022,,4,5,9,
08/05/2022,,1,8,9,
08/06/2022,,3,7,10,
08/07/2022,,2,8,10,
08/08/2022,,3,8,11,
08/09/2022,,4,5,9,
08/10/2022,,2,10,12,
08/11/2022,,3,5,8,
08/12/2022,,3,8,11,1
08/13/2022,,3,6,9,
08/14/2022,,3,8,11,
08/15/2022,,3,9,12,
08/16/2022,,4,4,8,
08/17/2022,,2,9,11,
08/18/2022,,3,7,10,
08/19/2022,,3,9,12,1
08/20/2022,,3,6,9,1
08/21/2022,,2,6,8,
08/22/2022,,3,7,10,
08/23/2022,,4,8,12,1
08/24/2022,,3,5,8,
08/25/2022,,3,5,8,1
08/26/2022,,3,6,9,
08/27/2022,,3,10,13,
08/28/2022,,4,5,9,
08/29/2022,,3,7,10,
08/30/2022,,2,6,8,
08/31/2022,,5,5,10,
09/01/2022,,1,6,7,
09/02/2022,,3,7,10,
09/03/2022,,3,10,13,
09/04/2022,,2,1,3,
09/05/2022,,4,10,14,
09/06/2022,,2,6,8,
09/07/2022,,3,8,11,
09/08/2022,,3,6,9,
09/09/2022,,2,6,8,
09/10/2022,,4,7,11,
09/11/2022,,2,6,8,
09/12/2022,,2,5,7,
09/13/2022,,3,7,10,
09/14/2022,,3,8,11,
09/15/2022,,1,7,8,
09/16/2022,,4,5,9,
09/17/2022,,1,8,9,
09/18/2022,,3,5,8,
09/19/2022,,1,6,7,
09/20/2022,,3,6,9,
09/21/2022,,3,7,10,1
09/22/2022,,1,7,8,
09/23/2022,,3,6,9,
09/24/2022,,2,3,5,
09/25/2022,,3,8,11,
09/26/2022,,2,4,6,
09/27/2022,,1,7,8,
09/28/2022,,2,6,8,
09/29/2022,,2,4,6,2
09/30/2022,,0,6,6,
10/01/2022,,2,4,6,
10/02/2022,,0,7,7,
10/03/2022,,3,2,5,
10/04/2022,,1,5,6,
10/05/2022,,0,5,5,
10/06/2022,,1,6,7,
10/07/2022,,1,2,3,
10/08/2022,,6,6,12,
10/09/2022,,,,0,
10/10/2022,,1,4,5,
10/11/2022,,1,4,5,
10/12/2022,,,,0,
10/13/2022,,,,0,
10/14/2022,,,,0,
10/15/2022,,,,0,
10/16/2022,,6,5,11,
10/17/2022,,0,3,3,
10/18/2022,,2,2,4,
10/19/2022,,0,3,3,
10/20/2022,,,,0,
10/21/2022,,1,5,6,
10/22/2022,,0,7,7,
10/23/2022,,0,3,3,
10/24/2022,,2,2,4,
10/25/2022,,1,3,4,
10/26/2022,,0,4,4,
10/27/2022,,1,2,3,
10/28/2022,,0,4,4,
10/29/2022,,,,0,
10/30/2022,,0,4,4,
10/31/2022,,0,3,3,
11/01/2022,,,,0,
11/02/2022,,0,4,4,
11/03/2022,,,,0,
11/04/2022,,0,5,5,1
11/05/2022,,,,0,
11/06/2022,,,,0,
11/07/2022,,,,0,
11/08/2022,,,,0,
11/09/2022,,,,0,
11/10/2022,,,,0,
11/11/2022,,,,0,
11/12/2022,,0,10,10,
11/13/2022,,0,3,3,
11/14/2022,,0,1,1,
11/15/2022,,,,0,
11/16/2022,,0,2,2,
11/17/2022,,,,0,
11/18/2022,,0,1,1,
11/19/2022,,,,0,
11/20/2022,,0,1,1,
11/21/2022,,0,2,2,
11/22/2022,,,,0,
11/23/2022,,0,1,1,
11/24/2022,,0,1,1,
11/25/2022,,,,0,
11/26/2022,,0,1,1,
11/27/2022,,,,0,
11/28/2022,,,,0,
11/29/2022,,0,1,1,
11/30/2022,,0,1,1,
12/01/2022,,0,1,1,
12/02/2022,,,,0,
12/03/2022,,,,0,1
12/04/2022,,,,0,
12/05/2022,,,,0,
12/06/2022,,0,1,1,
12/07/2022,,,,0,
12/08/2022,,,,0,
12/09/2022,,,,0,
12/10/2022,,,,0,
12/11/2022,,,,0,
12/12/2022,,,,0,
12/13/2022,,,,0,
12/14/2022,,,,0,
12/15/2022,,,,0,
12/16/2022,,,,0,
12/17/2022,,,,0,
12/18/2022,,,,0,
12/19/2022,,,,0,
12/20/2022,,,,0,
12/21/2022,,,,0,
12/22/2022,,,,0,
12/23/2022,,,,0,
12/24/2022,,2,0,2,
12/25/2022,,,,0,
12/26/2022,,1,1,2,
12/27/2022,,,,0,
12/28/2022,,1,1,2,
12/29/2022,,,,0,
12/30/2022,,,,0,
12/31/2022,,,,0,
