Date,Pink,Brown,Blue,Total Harvested,Broken/ Etc
09/24/2021,,3,2,5,
09/25/2021,,4,2,6,
09/26/2021,,4,2,6,
09/27/2021,,3,4,7,
09/28/2021,,4,2,6,
09/29/2021,,4,3,7,
09/30/2021,,3,1,4,
10/01/2021,,5,2,7,
10/02/2021,,4,3,7,
10/03/2021,,2,3,5,
10/04/2021,,5,3,8,
10/05/2021,,5,1,6,
10/06/2021,,2,4,6,
10/07/2021,,5,2,7,
10/08/2021,,5,3,8,
10/09/2021,,2,2,4,
10/10/2021,,5,2,7,
10/11/2021,,3,3,6,
10/12/2021,,4,2,6,
10/13/2021,,2,2,4,
10/14/2021,,4,3,7,
10/15/2021,,3,3,6,
10/16/2021,,3,2,5,
10/17/2021,,3,3,6,
10/18/2021,,3,0,3,
10/19/2021,,4,3,7,
10/20/2021,,4,3,7,
10/21/2021,,3,1,4,
10/22/2021,,2,2,4,
10/23/2021,,5,3,8,
10/24/2021,,3,1,4,
10/25/2021,,4,2,6,
10/26/2021,,3,2,5,
10/27/2021,,5,2,7,
10/28/2021,,,2,2,
10/29/2021,,4,2,6,
10/30/2021,,1,3,4,
10/31/2021,,3,2,5,
11/01/2021,,2,1,3,
11/02/2021,,2,3,5,
11/03/2021,,2,1,3,
11/04/2021,,1,3,4,
11/05/2021,,2,1,3,
11/06/2021,,1,2,3,
11/07/2021,,2,1,3,
11/08/2021,,,1,1,
11/09/2021,,1,3,4,
11/10/2021,,1,2,3,
11/11/2021,,2,1,3,
11/12/2021,,1,2,3,
11/13/2021,,1,3,4,
11/14/2021,,2,1,3,
11/15/2021,,1,2,3,
11/16/2021,,1,3,4,
11/17/2021,,1,1,2,
11/18/2021,,2,1,3,
11/19/2021,,0,2,2,
11/20/2021,,1,2,3,
11/21/2021,,,,2,
11/22/2021,,,,3,
11/23/2021,,,,3,
11/24/2021,,,,2,
11/25/2021,,,,1,
11/26/2021,,,,4,
11/27/2021,,,,1,
11/28/2021,,,,1,
11/29/2021,,,,3,
11/30/2021,,,,2,
12/01/2021,,,,2,
12/02/2021,,,,3,
12/03/2021,,,,1,
12/04/2021,,,,2,
12/05/2021,,1,,1,
12/06/2021,,,1,1,
12/07/2021,,1,1,2,
12/08/2021,,,1,1,
12/09/2021,,1,1,2,
12/10/2021,,1,,1,
12/11/2021,,0,0,0,
12/12/2021,,,1,1,
12/13/2021,,0,0,0,
12/14/2021,,1,2,3,
12/15/2021,,1,1,2,
12/16/2021,,0,0,0,
12/17/2021,,0,0,0,
12/18/2021,,0,0,0,
12/19/2021,,0,0,0,
12/20/2021,,1,,1,
12/21/2021,,1,,1,
12/22/2021,,1,,1,
12/23/2021,,1,1,2,
12/24/2021,,,,0,
12/25/2021,,,,0,
12/26/2021,,1,,1,
12/27/2021,,,,0,
12/28/2021,,,,0,1
12/29/2021,,,,0,
12/30/2021,,,,0,
12/31/2021,,,,0,
