Date,Pink,Brown,Blue,Total Harvested,Broken/ Etc
01/01/2021,0,0,0,0,
02/06/2021,1,,,1,
02/07/2021,1,,,1,
02/08/2021,1,,,1,
02/09/2021,1,,,1,
02/10/2021,1,,1,2,
02/11/2021,,,1,1,
02/12/2021,1,,1,2,
02/13/2021,1,,1,2,
02/14/2021,1,,1,2,
02/15/2021,,1,1,2,
02/16/2021,1,1,1,3,
02/17/2021,1,1,,2,
02/18/2021,1,1,,2,
02/19/2021,1,,1,2,
02/20/2021,,1,1,2,
02/21/2021,1,1,1,3,
02/22/2021,1,1,1,3,
02/23/2021,1,,,1,
02/24/2021,1,1,,2,
02/25/2021,,1,1,2,
02/26/2021,1,2,1,4,
02/27/2021,1,1,3,5,
02/28/2021,1,1,1,3,
03/01/2021,1,1,3,5,
03/02/2021,1,1,1,3,
03/03/2021,1,3,3,7,
03/04/2021,1,2,3,6,
03/05/2021,,3,2,5,
03/06/2021,1,1,2,4,
03/07/2021,1,4,3,8,
03/08/2021,1,4,3,8,
03/09/2021,,3,4,7,
03/10/2021,1,3,4,8,
03/11/2021,1,4,4,9,
03/12/2021,1,4,5,10,
03/13/2021,1,6,4,11,
03/14/2021,,5,5,10,
03/15/2021,1,4,5,10,
03/16/2021,1,5,5,11,
03/17/2021,1,5,4,10,
03/18/2021,1,5,5,11,
03/19/2021,1,5,5,11,
03/20/2021,1,5,6,12,
03/21/2021,1,5,6,12,
03/22/2021,1,4,7,12,
03/23/2021,1,5,6,12,
03/24/2021,1,4,5,10,
03/25/2021,,6,5,11,1
03/26/2021,1,3,4,8,
03/27/2021,1,6,6,13,1
03/28/2021,1,4,4,9,
03/29/2021,1,6,7,14,1
03/30/2021,1,5,5,11,1
03/31/2021,1,6,2,9,1
04/01/2021,1,6,7,14,1
04/02/2021,,7,4,11,
04/03/2021,1,5,6,12,
04/04/2021,1,6,5,12,1
04/05/2021,1,6,5,12,1
04/06/2021,1,4,6,11,
04/07/2021,1,6,6,13,1
04/08/2021,1,6,7,14,1
04/09/2021,1,5,6,12,1
04/10/2021,1,6,7,14,1
04/11/2021,1,5,5,11,1
04/12/2021,1,6,7,14,1
04/13/2021,1,6,6,13,1
04/14/2021,1,6,6,13,1
04/15/2021,1,5,6,12,1
04/16/2021,1,5,6,12,
04/17/2021,1,4,5,10,1
04/18/2021,1,6,6,13,1
04/19/2021,1,6,6,13,1
04/20/2021,1,5,6,12,
04/21/2021,,6,4,10,1
04/22/2021,1,6,6,13,1
04/23/2021,1,5,6,12,
04/24/2021,,,,0,
04/25/2021,1,2,5,8,
04/26/2021,1,4,4,9,
04/27/2021,1,5,5,11,
04/28/2021,1,5,5,11,
04/29/2021,1,5,5,11,
04/30/2021,1,6,4,11,
05/01/2021,1,5,5,11,
05/02/2021,1,5,5,11,
05/03/2021,1,6,6,13,
05/04/2021,1,6,6,13,
05/05/2021,1,5,5,11,
05/06/2021,1,6,6,13,
05/07/2021,1,6,6,13,
05/08/2021,,2,4,6,
05/09/2021,1,4,6,11,
05/10/2021,1,6,6,13,
05/11/2021,1,6,4,11,
05/12/2021,1,4,5,10,
05/13/2021,1,4,5,10,
05/14/2021,1,5,5,11,
05/15/2021,1,7,6,14,
05/16/2021,1,5,6,12,
05/17/2021,1,6,5,12,
05/18/2021,1,6,6,13,
05/19/2021,1,2,5,8,
05/20/2021,1,5,6,12,
05/21/2021,1,5,7,13,
05/22/2021,,6,4,10,
05/23/2021,1,6,5,12,
05/24/2021,1,5,5,11,
05/25/2021,1,5,6,12,
05/26/2021,1,5,6,12,
05/27/2021,1,6,5,12,
05/28/2021,1,4,6,11,
05/29/2021,1,5,6,12,
05/30/2021,,4,3,7,
05/31/2021,,4,6,10,
06/01/2021,1,6,5,12,
06/02/2021,1,4,5,10,
06/03/2021,1,6,5,12,
06/04/2021,1,5,6,12,
06/05/2021,,4,5,9,
06/06/2021,1,5,5,11,
06/07/2021,1,6,5,12,
06/08/2021,1,6,3,10,
06/09/2021,1,5,6,12,
06/10/2021,1,4,4,9,
06/11/2021,1,6,6,13,
06/12/2021,1,4,4,9,
06/13/2021,1,5,6,12,
06/14/2021,1,6,5,12,
06/15/2021,,4,5,9,
06/16/2021,1,7,6,14,
06/17/2021,1,3,5,9,
06/18/2021,1,4,4,9,
06/19/2021,,4,6,10,
06/20/2021,1,6,5,12,
06/21/2021,1,5,5,11,
06/22/2021,1,5,6,12,
06/23/2021,,3,5,8,
06/24/2021,1,5,5,11,
06/25/2021,1,5,5,11,
06/26/2021,,4,7,11,
06/27/2021,1,6,5,12,
06/28/2021,1,4,7,12,
06/29/2021,1,5,6,12,
06/30/2021,1,6,5,12,
07/01/2021,,4,4,8,
07/02/2021,1,5,6,12,
07/03/2021,1,6,6,13,
07/04/2021,1,5,5,11,
07/05/2021,1,5,7,13,
07/06/2021,1,4,4,9,
07/07/2021,,5,4,9,
07/08/2021,1,5,5,11,
07/09/2021,,4,2,6,
07/10/2021,,4,2,6,
07/11/2021,,6,3,9,
07/12/2021,,4,2,6,
07/13/2021,,5,2,7,
07/14/2021,,6,3,9,
07/15/2021,,3,3,6,
07/16/2021,,5,3,8,
07/17/2021,,5,4,9,
07/18/2021,,5,3,8,
07/19/2021,,5,2,7,
07/20/2021,,5,3,8,
07/21/2021,,4,4,8,
07/22/2021,,5,4,9,
07/23/2021,,5,3,8,
07/24/2021,,6,2,8,
07/25/2021,,4,4,8,
07/26/2021,,5,3,8,
07/27/2021,,5,2,7,
07/28/2021,,4,4,8,
07/29/2021,,6,3,9,
07/30/2021,,5,2,7,
07/31/2021,,5,3,8,
08/01/2021,,5,3,8,
08/02/2021,,4,2,6,
08/03/2021,,5,3,8,
08/04/2021,,4,4,8,
08/05/2021,,6,3,9,
08/06/2021,,5,3,8,
08/07/2021,,5,2,7,
08/08/2021,,3,4,7,
08/09/2021,,3,3,6,
08/10/2021,,5,2,7,
08/11/2021,,6,4,10,
08/12/2021,,4,2,6,
08/13/2021,,4,2,6,
08/14/2021,,6,2,8,
08/15/2021,,4,3,7,
08/16/2021,,4,2,6,
08/17/2021,,2,2,4,
08/18/2021,,6,1,7,
08/19/2021,,5,2,7,
08/20/2021,,3,2,5,
08/21/2021,,5,4,9,
08/22/2021,,6,3,9,
08/23/2021,,4,,4,
08/24/2021,,5,3,8,
08/25/2021,,4,2,6,
08/26/2021,,4,3,7,
08/27/2021,,5,1,6,
08/28/2021,,4,3,7,
08/29/2021,,2,2,4,
08/30/2021,,6,3,9,
08/31/2021,,3,2,5,
09/01/2021,,5,2,7,
09/02/2021,,2,3,5,
09/03/2021,,4,3,7,1
09/04/2021,,5,2,7,
09/05/2021,,5,3,8,
09/06/2021,,5,3,8,
09/07/2021,,4,2,6,
09/08/2021,,1,2,3,
09/09/2021,,5,3,8,
09/10/2021,,5,3,8,
09/11/2021,,3,4,7,
09/12/2021,,6,1,7,
09/13/2021,,4,4,8,
09/14/2021,,3,3,6,
09/15/2021,,4,3,7,
09/16/2021,,4,2,6,
09/17/2021,,5,3,8,
09/18/2021,,,,0,
09/19/2021,,5,2,7,
09/20/2021,,4,3,7,
09/21/2021,,2,2,4,
09/22/2021,,5,3,8,
09/23/2021,,5,2,7,
